word,artist,title,url,count
gotta,kendrick,Nickerson Gardens Freestyle,https://genius.com/Kendrick-lamar-nickerson-gardens-freestyle-lyrics,611
more,kendrick,2013 BET Hip Hop Awards - TDE Cypher,https://genius.com/Bet-2013-bet-hip-hop-awards-tde-cypher-lyrics,607
gon,kendrick,Super Bowl LVI Halftime Show,https://genius.com/Dr-dre-snoop-dogg-eminem-mary-j-blige-and-kendrick-lamar-super-bowl-lvi-halftime-show-annotated,603
on,kendrick,"Sing About Me, I’m Dying of Thirst",,597
yall,kendrick,Mother (Mother I Sober Demo),https://genius.com/Kendrick-lamar-mother-mother-i-sober-demo-lyrics,571
big,kendrick,Enjoy (West Coastin’),https://genius.com/9th-wonder-enjoy-west-coastin-lyrics,571
is,kendrick,6:16 in LA,,568
give,kendrick,3 Minutes of Watts,https://genius.com/Kendrick-lamar-3-minutes-of-watts-lyrics,566
money,kendrick,Ab-Soul’s Outro,https://genius.com/Kendrick-lamar-ab-souls-outro-lyrics,560
still,kendrick,Look Over Your Shoulder (Demo),https://genius.com/Kendrick-lamar-look-over-your-shoulder-demo-lyrics,550
hey,kendrick,Kites,https://genius.com/Nerd-kendrick-lamar-and-mia-kites-lyrics,549
your,kendrick,Money Trees,,548
are,kendrick,Little Johnny,https://genius.com/Kendrick-lamar-little-johnny-lyrics,545
baby,kendrick,Determined,https://genius.com/Kendrick-lamar-determined-lyrics,543
who,kendrick,Kick In The Door,https://genius.com/Kendrick-lamar-and-jay-rock-kick-in-the-door-lyrics,542
said,kendrick,Funkmaster Flex Freestyle,https://genius.com/Kendrick-lamar-funkmaster-flex-freestyle-lyrics,534
come,kendrick,Before He Was Famous Freestyle (Nickerson Gardens Cypha),https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics,534
why,kendrick,Look Over Your Shoulder (Demo),https://genius.com/Kendrick-lamar-look-over-your-shoulder-demo-lyrics,534
up,kendrick,Sherane a.k.a Master Splinter’s Daughter,,533
ya,kendrick,Rapper Shit,https://genius.com/Ab-soul-and-kendrick-lamar-rapper-shit-lyrics,531
day,kendrick,Money Trees [Mixed] [Sunday Service 3],https://genius.com/Kendrick-lamar-money-trees-mixed-sunday-service-3-lyrics,527
good,kendrick,Toca Tuesdays Freestyle,https://genius.com/Black-hippy-toca-tuesdays-freestyle-lyrics,521
only,kendrick,You Don’t Like,https://genius.com/Melo-kan-you-dont-like-lyrics,519
keep,kendrick,ORANGE SODA (Mixed),https://genius.com/Baby-keem-orange-soda-mixed-lyrics,517
real,kendrick,We Cry Together,https://genius.com/Kendrick-lamar-and-taylour-paige-we-cry-together-lyrics,513
new,kendrick,Father Stretch (Kendrick Lamar Demo),https://genius.com/Kanye-west-father-stretch-kendrick-lamar-demo-lyrics,513
even,kendrick,Enjoy (West Coastin’),https://genius.com/9th-wonder-enjoy-west-coastin-lyrics,512
every,kendrick,J. Dilla (Freestyle),https://genius.com/Kendrick-lamar-j-dilla-freestyle-lyrics,505
