word,artist,title,url,count
these,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,486
she,drake,Away From Home,,482
them,drake,Throw It In The Bag (Remix),https://genius.com/Fabolous-throw-it-in-the-bag-remix-lyrics,477
niggas,drake,Stories About My Brother,,475
let,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,468
too,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,461
oh,drake,Redemption,,455
do,drake,TSU,,454
youre,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,454
ayy,drake,Having Our Way,https://genius.com/Migos-having-our-way-lyrics,453
been,drake,We Made It Freestyle,,453
thats,drake,NOKIA,,451
come,drake,On BS,https://genius.com/Drake-and-21-savage-on-bs-lyrics,450
go,drake,Elevate,,446
how,drake,Buried Alive Interlude,,435
down,drake,Stories About My Brother,,435
if,drake,NOKIA,,433
way,drake,GLORIOUS,https://genius.com/Partynextdoor-and-drake-glorious-lyrics,427
nigga,drake,Away From Home,,423
he,drake,The Last Hope,https://genius.com/Drake-the-last-hope-lyrics,423
have,drake,All of the Lights (Remix),https://genius.com/Kanye-west-all-of-the-lights-remix-lyrics,421
back,drake,Away From Home,,418
then,drake,Lemon (Drake Remix),https://genius.com/Nerd-and-rihanna-lemon-drake-remix-lyrics,418
em,drake,Unstoppable,https://genius.com/Drake-unstoppable-lyrics,415
from,drake,Elevate,,414
more,drake,Throw It In The Bag (Remix),https://genius.com/Fabolous-throw-it-in-the-bag-remix-lyrics,413
too,drake,Sacrifices,,411
here,drake,GLORIOUS,https://genius.com/Partynextdoor-and-drake-glorious-lyrics,410
are,drake,As We Speak,https://genius.com/Yeat-as-we-speak-lyrics,405
aint,drake,305 to My City,,403
time,drake,Redemption,,403
uh,drake,City Is Mine,https://genius.com/Drake-city-is-mine-lyrics,402
say,drake,Redemption,,398
really,drake,Supermax*,https://genius.com/Drake-supermax-lyrics,398
why,drake,THE HEART PART 6,https://genius.com/Drake-the-heart-part-6-lyrics,397
cause,drake,Away From Home,,395
drake,drake,Unstoppable,https://genius.com/Drake-unstoppable-lyrics,395
look,drake,GLORIOUS,https://genius.com/Partynextdoor-and-drake-glorious-lyrics,394
