id,label,artist,avg_sentiment_score,anger_score,disgust_score,fear_score,joy_score,neutral_score,sadness_score,surprise_score
drake - A Night Off,A Night Off,drake,0.4835775482051282,0.12569806149277166,0.05397016719246327,0.04317691782489414,0.0524742095313297,0.5837364469965299,0.09804928011428082,0.04289491110457437
drake - A Scorpio’s Mind,A Scorpio’s Mind,drake,-0.13856869083333334,0.1388311975849016,0.12188717191384052,0.04073121229400078,0.06095294623001887,0.4809265634426588,0.08103225365630347,0.07563865909630997
drake - A.D.I.D.A.S.,A.D.I.D.A.S.,drake,0.2975187166666667,0.08845977085745992,0.08450433024877886,0.19998642209943174,0.1029495988455083,0.2942951353370315,0.04067809278559349,0.18912666620065766
drake - ALL I NEED,ALL I NEED,drake,0.12679306125,0.12608164141420272,0.08314981686028958,0.06536622601318713,0.048961845973584134,0.46552625104474527,0.0767302501481026,0.13418397335772167
drake - AM 2 PM,AM 2 PM,drake,-0.07347599424242425,0.11655426867108674,0.1283254735259988,0.02048311203058494,0.0660534322889747,0.5218678016892888,0.05035124491956645,0.09636465658673617
drake - ARIPI RELOADED (Bonus Track),ARIPI RELOADED (Bonus Track),drake,0.3287702622807018,0.10326595015399023,0.11066615830682083,0.18196400468597151,0.01888391566912133,0.48625489822670553,0.07561663242481775,0.023348432336525386
drake - About the Game,About the Game,drake,0.07836578483870968,0.06503566042570172,0.04659098141416102,0.03759545061902529,0.0765188257723185,0.6223176459491413,0.05641485154829033,0.09552658771875719
drake - After Dark,After Dark,drake,0.0872860386956522,0.0777087576039459,0.1172362179090471,0.10777925139384179,0.08588419538041897,0.44788632396122685,0.10012192473463387,0.06338332835382413
drake - Against The Wind (The Remorse Original),Against The Wind (The Remorse Original),drake,-0.08413818520833333,0.1777841560154532,0.07319724092182388,0.12223468808224419,0.028032551398306724,0.37731546016099554,0.11868670702097002,0.10274919862422388
drake - All Good,All Good,drake,0.2945552866197183,0.07274848272250042,0.08903439420777119,0.05296805574112686,0.22826070600176146,0.4584225389162,0.05508059397352933,0.04348522399119294
drake - All Me,All Me,drake,0.060479427345132744,0.19754265159352027,0.12118252624543298,0.02414566383334449,0.0613745588595995,0.4031459928111099,0.08886196737309535,0.10374662885648417
drake - All Night Long,All Night Long,drake,0.3385350979661017,0.19712095184673914,0.11177563998193113,0.03712307044326607,0.057760035631965044,0.4990026390069496,0.050786641751952674,0.04643102146298383
drake - All The Parties,All The Parties,drake,-0.1015429385915493,0.11142782455074111,0.10649747902225751,0.024742893289289275,0.06894589573945058,0.47770739818962527,0.12473164567671396,0.08594685984762303
drake - All This Love,All This Love,drake,0.3276936154385965,0.11539375214641419,0.06528097229372509,0.021615413323927045,0.09821818760808618,0.40351573524898604,0.10854773172340759,0.18742820279051853
drake - All of the Lights,All of the Lights,drake,0.30703196487179485,0.10164799392581556,0.05383357007760932,0.023600446611033846,0.08778133154667622,0.520173326618253,0.07064100829227703,0.14232232682227797
drake - All of the Lights (Remix),All of the Lights (Remix),drake,0.12931820695652174,0.18018038175574946,0.09740626929914979,0.030814857143685988,0.07824445140684708,0.39260913578428974,0.06206783422005723,0.1586770733626073
drake - All the Time,All the Time,drake,-0.07789750846153846,0.22687735062880582,0.04692662290584004,0.03489941697961716,0.040073404724423084,0.49243932109899247,0.0694337727125877,0.08935008259588632
drake - Amen,Amen,drake,0.5323805402173913,0.07594083633233344,0.07621708592278474,0.01535728845856674,0.14294348735838072,0.5509910263607035,0.09624912509816168,0.04230114590103288
drake - An Evening I Will Not Forget / Furthest Thing,An Evening I Will Not Forget / Furthest Thing,drake,0.017089403012048192,0.12202807868331532,0.06952863519012653,0.05537687686758661,0.13838604932331128,0.4266152560559427,0.1249288277565894,0.06313627072699723
drake - Another Late Night,Another Late Night,drake,-0.14467264867924529,0.22775252428749257,0.18995270563974834,0.022626735010834467,0.05118075432914815,0.3499896130963879,0.07595874562437799,0.08253892394494401
drake - Anybody Wanna Buy A Heart?,Anybody Wanna Buy A Heart?,drake,-0.3471242045454545,0.17656676778146485,0.16182948397895827,0.03567424845373761,0.02744148791640653,0.41583937403153287,0.07626138086515391,0.1063872637057846
drake - Aripi,Aripi,drake,0.10891423297872341,0.09970887777137943,0.10690277307096152,0.15618588825925547,0.03656454622359109,0.48476909507224536,0.0860563218593597,0.029812482913876743
drake - As We Speak,As We Speak,drake,-0.3069972415625,0.16084478133416266,0.20385439560050142,0.044287677164902506,0.0626625318923288,0.34903941368975205,0.0640469812242372,0.1152642292590826
drake - Asthma Team,Asthma Team,drake,0.021593852307692313,0.1453210878341148,0.08620044865454424,0.07283787655297855,0.08708618426671581,0.4542378743346303,0.05672336307067706,0.09759316306847787
drake - Aston Martin Music (Extended Mix),Aston Martin Music (Extended Mix),drake,0.21973702333333334,0.09287932559160422,0.07360515964516832,0.05407420486333731,0.04831262048267356,0.5236677745246284,0.12931563757093884,0.07814527638367418
drake - Away From Home,Away From Home,drake,0.0016677151063829768,0.14788230005750785,0.10504563567674458,0.05529523590465687,0.05455250080744236,0.4542123441624039,0.08068329017074338,0.10232870111197348
drake - BBL Love (Interlude),BBL Love (Interlude),drake,0.18026047897435898,0.13333265413530168,0.09774712622404476,0.043148146425851415,0.07758315244259739,0.41564680215639943,0.0436416196589095,0.18890050036880446
drake - BRIAN STEEL,BRIAN STEEL,drake,0.0316183070967742,0.1695740913461533,0.26082171950369104,0.06283799038388792,0.06839979859068984,0.2516306764295985,0.08661830371185653,0.10011741469403905
drake - Baby Come With Me,Baby Come With Me,drake,-0.35728870479999997,0.0736903001647442,0.08506329920142884,0.023216197295114344,0.044649366736412,0.5529504421353341,0.10163632918149228,0.11879405632615087
drake - Bachelor,Bachelor,drake,-0.0007835662500000028,0.09750025374523826,0.09457348569230811,0.09223298689721555,0.09144384177488969,0.3518139012303436,0.20948960354144214,0.06294593087295648
drake - Back To Back,Back To Back,drake,-0.39805878333333333,0.2043137533124536,0.11012982224347065,0.03532955025827197,0.027066131545385917,0.45275968426528074,0.07144074536239103,0.09896031894798697
drake - BackOutsideBoyz,BackOutsideBoyz,drake,-0.20556693866666664,0.07708457771481735,0.0570488614754544,0.032055881830294466,0.1400910982344713,0.5872518471959565,0.03802965298915898,0.06843807805950439
drake - Bahamas Promises,Bahamas Promises,drake,-0.3647482616129032,0.17359490534891522,0.08676043909884264,0.020527163708221958,0.06774432616939223,0.37408762701576753,0.18623003603950622,0.09105551734025916
drake - Barry Bonds (Freestyle),Barry Bonds (Freestyle),drake,-0.047219085362318836,0.17278880528950438,0.169332870955417,0.045477691332580124,0.06558623194713074,0.4499563091987933,0.05081253058101599,0.04604555153966188
drake - Be In There (Ton Of Em)*,Be In There (Ton Of Em)*,drake,-0.4169383924390244,0.26571641883262,0.18574338549997926,0.01899625733210815,0.014579439944610317,0.3861558579317316,0.06666983532287721,0.06213880891957112
drake - Beautiful Music,Beautiful Music,drake,0.050488197435897435,0.08101192074648744,0.05905202408440598,0.03552854248883723,0.06913661882161899,0.5770500549294341,0.09070568188475679,0.08751515568031042
drake - BedRock,BedRock,drake,0.23908474463917526,0.09969307896297076,0.07675525649287493,0.060303664714945235,0.14413675254201225,0.33921334608313963,0.09881376241304975,0.1810841451689466
drake - Behind Barz,Behind Barz,drake,-0.24168272606060606,0.12425892212724476,0.11929903028419972,0.04907299194548444,0.07634553711713203,0.4374534054447643,0.10670061227442185,0.08686950506649513
drake - Behind Barz (Link Up TV Freestyle),Behind Barz (Link Up TV Freestyle),drake,-0.20110738346666668,0.12854464233232035,0.11567198468372224,0.051926645231433165,0.07792637274755781,0.4453469682174424,0.09823711981376007,0.08234626770795629
drake - Believe Me,Believe Me,drake,0.0857171237735849,0.1827866641171979,0.09293493871436502,0.03647434669942151,0.11003252426997033,0.43252055592975525,0.06044640447197582,0.08480455460606735
drake - Belly Shit,Belly Shit,drake,-0.2826340995522388,0.1454280892581637,0.08181066582076692,0.04677671037697742,0.10588126869024288,0.4559036472033876,0.08534682121252941,0.07885280376171634
